,dif_min,atraso_15,temporada_alta,periodo_dia
84,67,1,0,12:00 a 18:59
85,84,1,0,12:00 a 18:59
86,63,1,0,12:00 a 18:59
87,97,1,0,12:00 a 18:59
88,17,1,0,12:00 a 18:59
89,90,1,0,12:00 a 18:59
90,130,1,0,12:00 a 18:59
91,24,1,1,12:00 a 18:59
92,77,1,1,12:00 a 18:59
93,32,1,1,12:00 a 18:59
94,39,1,1,12:00 a 18:59
95,48,1,1,12:00 a 18:59
96,6,0,1,12:00 a 18:59
97,2,0,1,12:00 a 18:59
98,28,1,1,12:00 a 18:59
99,11,0,1,12:00 a 18:59
100,33,1,1,12:00 a 18:59
101,69,1,1,12:00 a 18:59
102,20,1,1,12:00 a 18:59
103,3,0,1,12:00 a 18:59
104,22,1,1,12:00 a 18:59
105,21,1,1,12:00 a 18:59
106,22,1,1,12:00 a 18:59
107,27,1,1,12:00 a 18:59
108,6,0,1,12:00 a 18:59
109,20,1,1,19:00 a 4:59
110,17,1,1,19:00 a 4:59
111,19,1,1,19:00 a 4:59
112,47,1,0,19:00 a 4:59
113,5,0,0,19:00 a 4:59
114,63,1,0,19:00 a 4:59
115,55,1,0,19:00 a 4:59
116,53,1,0,19:00 a 4:59
117,105,1,0,19:00 a 4:59
118,20,1,0,19:00 a 4:59
119,72,1,0,19:00 a 4:59
120,26,1,1,19:00 a 4:59
121,99,1,1,19:00 a 4:59
122,52,1,1,19:00 a 4:59
123,33,1,1,19:00 a 4:59
124,147,1,1,19:00 a 4:59
125,18,1,1,19:00 a 4:59
126,25,1,1,19:00 a 4:59
127,5,0,1,19:00 a 4:59
128,21,1,1,19:00 a 4:59
129,13,0,1,19:00 a 4:59
130,21,1,1,19:00 a 4:59
131,11,0,1,19:00 a 4:59
132,-4,0,1,19:00 a 4:59
133,-1,0,1,19:00 a 4:59
134,8,0,1,19:00 a 4:59
135,6,0,1,19:00 a 4:59
136,-4,0,1,19:00 a 4:59
137,6,0,1,19:00 a 4:59
138,-4,0,1,12:00 a 18:59
139,0,0,1,12:00 a 18:59
140,3,0,1,12:00 a 18:59
141,-1,0,0,12:00 a 18:59
142,-10,0,0,12:00 a 18:59
143,16,1,0,12:00 a 18:59
144,-1,0,0,12:00 a 18:59
145,1,0,0,12:00 a 18:59
146,14,0,0,12:00 a 18:59
147,8,0,0,12:00 a 18:59
148,7,0,0,12:00 a 18:59
149,7,0,0,12:00 a 18:59
150,5,0,1,12:00 a 18:59
151,17,1,1,12:00 a 18:59
152,1,0,1,12:00 a 18:59
153,12,0,1,12:00 a 18:59
154,-3,0,1,12:00 a 18:59
155,33,1,1,12:00 a 18:59
156,6,0,1,12:00 a 18:59
157,-4,0,1,12:00 a 18:59
158,8,0,1,12:00 a 18:59
159,7,0,1,12:00 a 18:59
160,-1,0,1,12:00 a 18:59
161,3,0,1,12:00 a 18:59
162,-7,0,1,12:00 a 18:59
163,12,0,1,12:00 a 18:59
164,-2,0,1,12:00 a 18:59
165,7,0,1,12:00 a 18:59
166,14,0,1,12:00 a 18:59
167,14,0,1,12:00 a 18:59
168,-5,0,1,12:00 a 18:59
169,-11,0,1,19:00 a 4:59
170,13,0,1,19:00 a 4:59
171,-2,0,1,19:00 a 4:59
172,-12,0,0,19:00 a 4:59
173,7,0,0,19:00 a 4:59
174,-1,0,0,19:00 a 4:59
175,14,0,0,19:00 a 4:59
176,-7,0,0,19:00 a 4:59
177,-6,0,0,19:00 a 4:59
178,0,0,0,19:00 a 4:59
179,-3,0,0,19:00 a 4:59
180,-9,0,0,19:00 a 4:59
181,-4,0,1,19:00 a 4:59
182,-2,0,1,19:00 a 4:59
183,-7,0,1,19:00 a 4:59
184,-3,0,1,19:00 a 4:59
185,1,0,1,19:00 a 4:59
186,4,0,1,19:00 a 4:59
187,-9,0,1,19:00 a 4:59
188,138,1,1,19:00 a 4:59
189,-1,0,1,19:00 a 4:59
190,-13,0,1,19:00 a 4:59
191,-11,0,1,19:00 a 4:59
192,-11,0,1,19:00 a 4:59
193,-9,0,1,19:00 a 4:59
194,-7,0,1,19:00 a 4:59
195,-5,0,1,19:00 a 4:59
196,-1,0,1,19:00 a 4:59
197,-2,0,1,19:00 a 4:59
198,13,0,1,19:00 a 4:59
199,-9,0,1,19:00 a 4:59
200,-1,0,0,19:00 a 4:59
201,-10,0,1,5:00 a 11:59
202,2,0,1,5:00 a 11:59
203,-2,0,1,5:00 a 11:59
204,31,1,0,5:00 a 11:59
205,18,1,0,5:00 a 11:59
206,-13,0,0,5:00 a 11:59
207,-6,0,0,5:00 a 11:59
208,0,0,0,5:00 a 11:59
209,20,1,0,5:00 a 11:59
210,8,0,0,5:00 a 11:59
211,11,0,0,5:00 a 11:59
212,-8,0,0,5:00 a 11:59
213,88,1,1,5:00 a 11:59
214,17,1,1,5:00 a 11:59
215,27,1,1,5:00 a 11:59
216,2,0,1,5:00 a 11:59
217,1,0,1,5:00 a 11:59
218,33,1,1,5:00 a 11:59
219,11,0,1,5:00 a 11:59
220,2,0,1,5:00 a 11:59
221,10,0,1,5:00 a 11:59
222,-5,0,1,5:00 a 11:59
223,-1,0,1,5:00 a 11:59
224,-12,0,1,5:00 a 11:59
225,-5,0,1,5:00 a 11:59
226,-3,0,1,5:00 a 11:59
227,-10,0,1,5:00 a 11:59
228,3,0,1,5:00 a 11:59
229,1,0,1,5:00 a 11:59
230,1,0,1,5:00 a 11:59
231,35,1,0,5:00 a 11:59
232,-11,0,0,5:00 a 11:59
233,-11,0,0,5:00 a 11:59
234,-10,0,0,5:00 a 11:59
235,6,0,0,5:00 a 11:59
236,14,0,0,5:00 a 11:59
237,-7,0,0,5:00 a 11:59
238,-11,0,0,5:00 a 11:59
239,0,0,1,5:00 a 11:59
240,5,0,1,5:00 a 11:59
241,18,1,1,5:00 a 11:59
242,-8,0,1,5:00 a 11:59
243,-1,0,1,5:00 a 11:59
244,-11,0,1,5:00 a 11:59
245,17,1,1,5:00 a 11:59
246,15,0,1,5:00 a 11:59
247,1,0,1,5:00 a 11:59
248,-4,0,1,5:00 a 11:59
249,30,1,1,5:00 a 11:59
250,-13,0,1,5:00 a 11:59
251,-4,0,1,5:00 a 11:59
252,-5,0,1,5:00 a 11:59
253,-6,0,1,5:00 a 11:59
254,-7,0,1,12:00 a 18:59
255,5,0,1,12:00 a 18:59
256,25,1,1,12:00 a 18:59
257,4,0,0,12:00 a 18:59
258,-10,0,0,12:00 a 18:59
259,11,0,0,12:00 a 18:59
260,-14,0,0,12:00 a 18:59
261,-2,0,0,12:00 a 18:59
262,-3,0,0,12:00 a 18:59
263,7,0,0,12:00 a 18:59
264,9,0,0,12:00 a 18:59
265,42,1,0,12:00 a 18:59
266,9,0,1,12:00 a 18:59
267,4,0,1,12:00 a 18:59
268,-9,0,1,12:00 a 18:59
269,-8,0,1,12:00 a 18:59
270,-7,0,1,12:00 a 18:59
271,6,0,1,12:00 a 18:59
272,-5,0,1,12:00 a 18:59
273,0,0,1,12:00 a 18:59
274,-9,0,1,12:00 a 18:59
275,-6,0,1,12:00 a 18:59
276,1,0,1,12:00 a 18:59
277,-2,0,1,12:00 a 18:59
278,-3,0,1,12:00 a 18:59
279,1,0,1,12:00 a 18:59
280,-3,0,1,12:00 a 18:59
281,-4,0,1,12:00 a 18:59
282,-3,0,1,12:00 a 18:59
283,-12,0,1,12:00 a 18:59
284,14,0,1,12:00 a 18:59
285,-6,0,1,12:00 a 18:59
286,-1,0,1,12:00 a 18:59
287,28,1,1,12:00 a 18:59
288,-1,0,0,12:00 a 18:59
289,-1,0,0,12:00 a 18:59
290,-8,0,0,12:00 a 18:59
291,8,0,0,12:00 a 18:59
292,12,0,0,12:00 a 18:59
293,-8,0,0,12:00 a 18:59
294,-3,0,0,12:00 a 18:59
295,37,1,0,12:00 a 18:59
296,4,0,0,12:00 a 18:59
297,7,0,1,12:00 a 18:59
298,-3,0,1,12:00 a 18:59
299,9,0,1,12:00 a 18:59
300,-1,0,1,12:00 a 18:59
301,-4,0,1,12:00 a 18:59
302,3,0,1,12:00 a 18:59
303,-6,0,1,12:00 a 18:59
304,8,0,1,12:00 a 18:59
305,7,0,1,12:00 a 18:59
306,-7,0,1,12:00 a 18:59
307,-2,0,1,12:00 a 18:59
308,-8,0,1,12:00 a 18:59
309,1,0,1,12:00 a 18:59
310,-14,0,1,12:00 a 18:59
311,-10,0,1,12:00 a 18:59
312,-11,0,1,12:00 a 18:59
313,-2,0,1,12:00 a 18:59
314,27,1,0,5:00 a 11:59
315,4,0,1,5:00 a 11:59
316,-2,0,1,5:00 a 11:59
317,15,0,1,5:00 a 11:59
318,1,0,1,19:00 a 4:59
319,3,0,1,19:00 a 4:59
320,22,1,1,19:00 a 4:59
321,26,1,0,19:00 a 4:59
322,4,0,0,19:00 a 4:59
323,14,0,0,19:00 a 4:59
324,7,0,0,19:00 a 4:59
325,87,1,0,19:00 a 4:59
326,-1,0,0,19:00 a 4:59
327,-14,0,0,19:00 a 4:59
328,0,0,0,19:00 a 4:59
329,27,1,1,19:00 a 4:59
330,8,0,1,19:00 a 4:59
331,10,0,1,19:00 a 4:59
332,5,0,1,19:00 a 4:59
333,1,0,1,19:00 a 4:59
334,-9,0,1,19:00 a 4:59
335,15,0,1,19:00 a 4:59
336,1,0,1,19:00 a 4:59
337,21,1,1,19:00 a 4:59
338,-1,0,1,19:00 a 4:59
339,-13,0,1,19:00 a 4:59
340,21,1,1,19:00 a 4:59
341,-5,0,1,19:00 a 4:59
342,-2,0,1,19:00 a 4:59
343,6,0,0,19:00 a 4:59
344,-1,0,1,19:00 a 4:59
345,-2,0,1,19:00 a 4:59
346,-8,0,1,19:00 a 4:59
347,-6,0,1,5:00 a 11:59
348,3,0,1,5:00 a 11:59
349,16,1,1,5:00 a 11:59
350,65,1,0,12:00 a 18:59
351,27,1,0,5:00 a 11:59
352,0,0,0,5:00 a 11:59
353,-2,0,0,5:00 a 11:59
354,2,0,0,5:00 a 11:59
355,-2,0,0,5:00 a 11:59
356,-7,0,0,5:00 a 11:59
357,-3,0,1,5:00 a 11:59
358,40,1,1,5:00 a 11:59
359,11,0,1,5:00 a 11:59
360,-3,0,1,5:00 a 11:59
361,16,1,1,5:00 a 11:59
362,13,0,1,5:00 a 11:59
363,1,0,1,5:00 a 11:59
364,13,0,1,5:00 a 11:59
365,-2,0,1,5:00 a 11:59
366,-3,0,1,5:00 a 11:59
367,-7,0,1,5:00 a 11:59
368,28,1,1,5:00 a 11:59
369,0,0,1,5:00 a 11:59
370,5,0,1,5:00 a 11:59
371,-1,0,1,5:00 a 11:59
372,-8,0,1,5:00 a 11:59
373,7,0,1,5:00 a 11:59
374,-9,0,1,5:00 a 11:59
375,3,0,1,5:00 a 11:59
376,38,1,1,12:00 a 18:59
377,6,0,1,12:00 a 18:59
378,2,0,1,12:00 a 18:59
379,19,1,0,12:00 a 18:59
380,15,0,0,12:00 a 18:59
381,27,1,0,12:00 a 18:59
382,59,1,0,12:00 a 18:59
383,14,0,0,12:00 a 18:59
384,-3,0,0,12:00 a 18:59
385,14,0,0,12:00 a 18:59
386,19,1,0,12:00 a 18:59
387,5,0,0,12:00 a 18:59
388,13,0,1,12:00 a 18:59
389,19,1,1,12:00 a 18:59
390,10,0,1,12:00 a 18:59
391,37,1,1,12:00 a 18:59
392,23,1,1,12:00 a 18:59
393,11,0,1,12:00 a 18:59
394,7,0,1,12:00 a 18:59
395,15,0,1,12:00 a 18:59
396,1,0,1,12:00 a 18:59
397,15,0,1,12:00 a 18:59
398,30,1,1,12:00 a 18:59
399,22,1,1,12:00 a 18:59
400,37,1,1,12:00 a 18:59
401,12,0,1,12:00 a 18:59
402,0,0,1,12:00 a 18:59
403,6,0,1,12:00 a 18:59
404,21,1,1,12:00 a 18:59
405,-2,0,1,12:00 a 18:59
406,17,1,1,12:00 a 18:59
407,8,0,1,5:00 a 11:59
408,6,0,1,5:00 a 11:59
409,5,0,1,19:00 a 4:59
410,-4,0,1,19:00 a 4:59
411,-10,0,1,19:00 a 4:59
412,12,0,0,19:00 a 4:59
413,-2,0,0,19:00 a 4:59
414,-13,0,0,19:00 a 4:59
415,-12,0,0,19:00 a 4:59
416,-10,0,0,19:00 a 4:59
417,-14,0,0,19:00 a 4:59
418,3,0,0,19:00 a 4:59
419,-6,0,0,19:00 a 4:59
420,-13,0,1,19:00 a 4:59
421,-13,0,1,19:00 a 4:59
422,-9,0,1,19:00 a 4:59
423,-1,0,1,19:00 a 4:59
424,3,0,1,19:00 a 4:59
425,-1,0,1,19:00 a 4:59
426,-12,0,1,19:00 a 4:59
427,-8,0,1,19:00 a 4:59
428,-14,0,1,19:00 a 4:59
429,1,0,1,19:00 a 4:59
430,-6,0,1,19:00 a 4:59
431,-5,0,1,19:00 a 4:59
432,-7,0,1,19:00 a 4:59
433,-1,0,1,19:00 a 4:59
434,-4,0,1,19:00 a 4:59
435,-14,0,1,19:00 a 4:59
436,-5,0,1,19:00 a 4:59
437,32,1,0,5:00 a 11:59
438,37,1,1,5:00 a 11:59
439,10,0,1,5:00 a 11:59
440,-5,0,1,5:00 a 11:59
441,6,0,0,5:00 a 11:59
442,13,0,0,5:00 a 11:59
443,9,0,0,5:00 a 11:59
444,2,0,0,5:00 a 11:59
445,32,1,0,5:00 a 11:59
446,10,0,0,5:00 a 11:59
447,26,1,1,5:00 a 11:59
448,13,0,1,5:00 a 11:59
449,11,0,1,5:00 a 11:59
450,6,0,1,5:00 a 11:59
451,14,0,1,5:00 a 11:59
452,17,1,1,5:00 a 11:59
453,10,0,1,5:00 a 11:59
454,-4,0,1,5:00 a 11:59
455,10,0,1,5:00 a 11:59
456,9,0,1,5:00 a 11:59
457,-6,0,1,5:00 a 11:59
458,3,0,1,5:00 a 11:59
459,-3,0,1,5:00 a 11:59
460,-1,0,1,5:00 a 11:59
461,1,0,0,12:00 a 18:59
462,46,1,0,12:00 a 18:59
463,3,0,0,12:00 a 18:59
464,51,1,0,12:00 a 18:59
465,0,0,0,12:00 a 18:59
466,94,1,0,12:00 a 18:59
467,68,1,1,12:00 a 18:59
468,23,1,1,12:00 a 18:59
469,4,0,1,12:00 a 18:59
470,-1,0,1,12:00 a 18:59
471,4,0,1,12:00 a 18:59
472,-5,0,1,12:00 a 18:59
473,12,0,1,12:00 a 18:59
474,5,0,1,12:00 a 18:59
475,-6,0,1,12:00 a 18:59
476,0,0,1,12:00 a 18:59
477,-3,0,1,19:00 a 4:59
478,0,0,1,19:00 a 4:59
479,3,0,1,19:00 a 4:59
480,-1,0,0,19:00 a 4:59
481,-5,0,0,19:00 a 4:59
482,-9,0,0,19:00 a 4:59
483,-2,0,0,19:00 a 4:59
484,2,0,0,19:00 a 4:59
485,1,0,0,19:00 a 4:59
486,-2,0,0,19:00 a 4:59
487,-10,0,0,19:00 a 4:59
488,1,0,0,19:00 a 4:59
489,-1,0,1,19:00 a 4:59
490,-2,0,1,19:00 a 4:59
491,-6,0,1,19:00 a 4:59
492,8,0,1,19:00 a 4:59
493,-6,0,1,19:00 a 4:59
494,-2,0,1,19:00 a 4:59
495,4,0,1,19:00 a 4:59
496,-4,0,1,19:00 a 4:59
497,-8,0,1,19:00 a 4:59
498,-5,0,1,19:00 a 4:59
499,1,0,1,19:00 a 4:59
500,-1,0,1,19:00 a 4:59
501,-7,0,1,19:00 a 4:59
502,-3,0,1,19:00 a 4:59
503,-1,0,1,19:00 a 4:59
504,-3,0,1,19:00 a 4:59
505,-11,0,1,19:00 a 4:59
506,7,0,1,19:00 a 4:59
507,8,0,1,19:00 a 4:59
508,-3,0,1,5:00 a 11:59
509,0,0,1,5:00 a 11:59
510,-4,0,1,5:00 a 11:59
511,0,0,0,5:00 a 11:59
512,0,0,0,5:00 a 11:59
513,-12,0,0,5:00 a 11:59
514,8,0,0,5:00 a 11:59
515,24,1,0,5:00 a 11:59
516,1,0,0,5:00 a 11:59
517,-10,0,0,5:00 a 11:59
518,-9,0,0,5:00 a 11:59
519,-6,0,0,5:00 a 11:59
520,-6,0,1,5:00 a 11:59
521,6,0,1,5:00 a 11:59
522,-6,0,1,5:00 a 11:59
523,14,0,1,5:00 a 11:59
524,0,0,1,5:00 a 11:59
525,-4,0,1,5:00 a 11:59
526,-4,0,1,5:00 a 11:59
527,-10,0,1,5:00 a 11:59
528,19,1,1,5:00 a 11:59
529,-2,0,1,5:00 a 11:59
530,-8,0,1,5:00 a 11:59
531,3,0,1,5:00 a 11:59
532,-4,0,1,5:00 a 11:59
533,-4,0,1,5:00 a 11:59
534,-1,0,1,5:00 a 11:59
535,10,0,1,5:00 a 11:59
536,-9,0,1,5:00 a 11:59
537,3,0,1,5:00 a 11:59
538,0,0,1,5:00 a 11:59
539,-6,0,1,19:00 a 4:59
540,-6,0,1,19:00 a 4:59
541,-7,0,0,19:00 a 4:59
542,-9,0,0,19:00 a 4:59
543,-4,0,0,19:00 a 4:59
544,4,0,0,19:00 a 4:59
545,-2,0,0,19:00 a 4:59
546,32,1,0,19:00 a 4:59
547,-8,0,0,19:00 a 4:59
548,3,0,0,19:00 a 4:59
549,-9,0,0,19:00 a 4:59
550,-11,0,1,19:00 a 4:59
551,-6,0,1,19:00 a 4:59
552,-13,0,1,19:00 a 4:59
553,-10,0,1,19:00 a 4:59
554,-12,0,1,19:00 a 4:59
555,2,0,1,19:00 a 4:59
556,-14,0,1,19:00 a 4:59
557,-10,0,1,19:00 a 4:59
558,-8,0,1,19:00 a 4:59
559,-4,0,1,19:00 a 4:59
560,-14,0,1,19:00 a 4:59
561,-4,0,1,19:00 a 4:59
562,-6,0,1,19:00 a 4:59
563,-2,0,1,19:00 a 4:59
564,-8,0,1,19:00 a 4:59
565,-10,0,1,19:00 a 4:59
566,0,0,1,19:00 a 4:59
567,8,0,0,5:00 a 11:59
568,-7,0,0,5:00 a 11:59
569,4,0,0,5:00 a 11:59
570,15,0,0,5:00 a 11:59
571,-3,0,0,5:00 a 11:59
572,6,0,0,5:00 a 11:59
573,57,1,1,5:00 a 11:59
574,8,0,1,5:00 a 11:59
575,26,1,1,5:00 a 11:59
576,-1,0,1,5:00 a 11:59
577,-5,0,1,5:00 a 11:59
578,-2,0,1,5:00 a 11:59
579,4,0,1,5:00 a 11:59
580,-8,0,1,5:00 a 11:59
581,9,0,1,5:00 a 11:59
582,2,0,1,5:00 a 11:59
583,2,0,1,5:00 a 11:59
584,4,0,1,5:00 a 11:59
585,-10,0,1,5:00 a 11:59
586,-1,0,1,5:00 a 11:59
587,6,0,1,5:00 a 11:59
588,1,0,1,5:00 a 11:59
589,0,0,1,5:00 a 11:59
590,-7,0,1,5:00 a 11:59
591,7,0,1,5:00 a 11:59
592,-2,0,1,19:00 a 4:59
593,3,0,1,19:00 a 4:59
594,-3,0,1,19:00 a 4:59
595,-1,0,0,19:00 a 4:59
596,4,0,0,19:00 a 4:59
597,4,0,0,19:00 a 4:59
598,1,0,0,19:00 a 4:59
599,-4,0,0,19:00 a 4:59
600,16,1,0,19:00 a 4:59
601,4,0,0,19:00 a 4:59
602,4,0,0,19:00 a 4:59
603,0,0,0,19:00 a 4:59
604,16,1,1,19:00 a 4:59
605,4,0,1,19:00 a 4:59
606,-4,0,1,19:00 a 4:59
607,0,0,1,19:00 a 4:59
608,0,0,1,19:00 a 4:59
609,9,0,1,19:00 a 4:59
610,6,0,1,19:00 a 4:59
611,-7,0,1,19:00 a 4:59
612,-7,0,1,19:00 a 4:59
613,-7,0,1,19:00 a 4:59
614,-1,0,1,19:00 a 4:59
615,-2,0,1,19:00 a 4:59
616,8,0,1,19:00 a 4:59
617,-12,0,1,19:00 a 4:59
618,-6,0,1,19:00 a 4:59
619,0,0,1,19:00 a 4:59
620,1,0,1,19:00 a 4:59
621,-4,0,1,19:00 a 4:59
622,6,0,1,19:00 a 4:59
623,-3,0,1,19:00 a 4:59
624,-8,0,1,19:00 a 4:59
625,-5,0,0,19:00 a 4:59
626,-3,0,0,19:00 a 4:59
627,-3,0,0,19:00 a 4:59
628,7,0,0,19:00 a 4:59
629,58,1,0,19:00 a 4:59
630,24,1,0,19:00 a 4:59
631,6,0,0,19:00 a 4:59
632,13,0,0,19:00 a 4:59
633,-3,0,0,19:00 a 4:59
634,-1,0,1,19:00 a 4:59
635,0,0,1,19:00 a 4:59
636,-8,0,1,19:00 a 4:59
637,2,0,1,19:00 a 4:59
638,-5,0,1,19:00 a 4:59
639,2,0,1,19:00 a 4:59
640,-3,0,1,19:00 a 4:59
641,-8,0,1,19:00 a 4:59
642,-8,0,1,19:00 a 4:59
643,0,0,1,19:00 a 4:59
644,0,0,1,19:00 a 4:59
645,-14,0,1,19:00 a 4:59
646,-5,0,1,19:00 a 4:59
647,-10,0,1,19:00 a 4:59
648,1,0,1,19:00 a 4:59
649,-2,0,1,19:00 a 4:59
650,8,0,1,19:00 a 4:59
651,5,0,1,19:00 a 4:59
652,15,0,0,19:00 a 4:59
653,-4,0,1,19:00 a 4:59
654,-6,0,1,19:00 a 4:59
655,-2,0,1,19:00 a 4:59
656,-3,0,0,19:00 a 4:59
657,-1,0,0,19:00 a 4:59
658,40,1,0,5:00 a 11:59
659,-6,0,0,19:00 a 4:59
660,-5,0,0,19:00 a 4:59
661,-4,0,0,19:00 a 4:59
662,-9,0,0,19:00 a 4:59
663,16,1,0,19:00 a 4:59
664,3,0,0,19:00 a 4:59
665,-4,0,1,19:00 a 4:59
666,-8,0,1,19:00 a 4:59
667,1,0,1,19:00 a 4:59
668,0,0,1,19:00 a 4:59
669,18,1,1,19:00 a 4:59
670,-1,0,1,19:00 a 4:59
671,-1,0,1,19:00 a 4:59
672,-2,0,1,19:00 a 4:59
673,-4,0,1,19:00 a 4:59
674,2,0,1,19:00 a 4:59
675,50,1,1,19:00 a 4:59
676,-4,0,1,19:00 a 4:59
677,14,0,1,19:00 a 4:59
678,-4,0,1,19:00 a 4:59
679,0,0,1,19:00 a 4:59
680,1,0,1,19:00 a 4:59
681,72,1,1,19:00 a 4:59
682,20,1,1,19:00 a 4:59
683,5,0,1,19:00 a 4:59
684,13,0,1,5:00 a 11:59
685,-10,0,1,5:00 a 11:59
686,-6,0,1,5:00 a 11:59
687,3,0,0,5:00 a 11:59
688,-9,0,0,5:00 a 11:59
689,18,1,0,5:00 a 11:59
690,-9,0,0,5:00 a 11:59
691,-10,0,0,5:00 a 11:59
692,-13,0,0,5:00 a 11:59
693,-7,0,0,5:00 a 11:59
694,-5,0,1,5:00 a 11:59
695,-3,0,1,5:00 a 11:59
696,-13,0,1,5:00 a 11:59
697,30,1,1,5:00 a 11:59
698,-10,0,1,5:00 a 11:59
699,0,0,1,5:00 a 11:59
700,4,0,1,5:00 a 11:59
701,-8,0,1,5:00 a 11:59
702,-8,0,1,5:00 a 11:59
703,-6,0,1,5:00 a 11:59
704,-9,0,1,5:00 a 11:59
705,-8,0,1,5:00 a 11:59
706,-14,0,1,5:00 a 11:59
707,-7,0,1,5:00 a 11:59
708,-11,0,1,5:00 a 11:59
709,6,0,1,12:00 a 18:59
710,40,1,1,12:00 a 18:59
711,29,1,1,12:00 a 18:59
712,15,0,0,12:00 a 18:59
713,51,1,0,12:00 a 18:59
714,34,1,0,12:00 a 18:59
715,28,1,0,12:00 a 18:59
716,32,1,0,12:00 a 18:59
717,41,1,0,12:00 a 18:59
718,138,1,0,12:00 a 18:59
719,38,1,0,12:00 a 18:59
720,27,1,0,12:00 a 18:59
721,33,1,1,12:00 a 18:59
722,57,1,1,12:00 a 18:59
723,7,0,1,12:00 a 18:59
724,10,0,1,12:00 a 18:59
725,37,1,1,12:00 a 18:59
726,38,1,1,12:00 a 18:59
727,34,1,1,12:00 a 18:59
728,25,1,1,12:00 a 18:59
729,15,0,1,12:00 a 18:59
730,8,0,1,12:00 a 18:59
731,4,0,1,12:00 a 18:59
732,-1,0,1,12:00 a 18:59
733,42,1,1,12:00 a 18:59
734,7,0,1,12:00 a 18:59
735,13,0,1,12:00 a 18:59
736,8,0,1,12:00 a 18:59
737,-5,0,1,12:00 a 18:59
738,47,1,1,12:00 a 18:59
739,33,1,1,12:00 a 18:59
740,-9,0,1,19:00 a 4:59
741,13,0,1,19:00 a 4:59
742,47,1,0,19:00 a 4:59
743,17,1,0,19:00 a 4:59
744,-10,0,0,19:00 a 4:59
745,54,1,0,19:00 a 4:59
746,2,0,0,19:00 a 4:59
747,-3,0,1,19:00 a 4:59
748,-3,0,1,19:00 a 4:59
749,9,0,1,19:00 a 4:59
750,14,0,1,19:00 a 4:59
751,6,0,1,19:00 a 4:59
752,1,0,1,19:00 a 4:59
753,-2,0,1,19:00 a 4:59
754,0,0,1,19:00 a 4:59
755,-8,0,1,19:00 a 4:59
